"PGID_","SMILES","Bandgap","Dielectric.Constant","Ionic.Dielectric.Constant","Electronic.Dielectric.Constant","Refractive.Index","Atomization.Energy","Breakdown.Field","Density","Ionization.Energy","Electron.Affinity","Cohesive.Energy","Dielectric.Loss","Melting.Temperature","Glass.Transition.Temperature","Onset.of.Degradation.Temperature","Hildebrand.Solubility.Parameter","Energy.Density","State","Molecular.Weight","Entanglement.Molecular.Weight","Molar.Heat.Capacity","Molar.Volume"
3227,"*C(=O)OCCCCCO*",6.69,3.23,0.4,2.68,1.67,-5.47,NA,1.2,7.34,0.36,0.68,NA,NA,232,NA,19.16,NA,NA,NA,NA,NA,NA
3228,"*C(=S)C(=O)CCNC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2*",1.93,4.98,1.03,5.44,2.08,-6.05,NA,1.39,5.87,3.34,-0.21,NA,NA,423,NA,21.47,NA,NA,NA,NA,NA,NA
3229,"*OC(C=C1)=CC=C1C(=O)C(S2)=CC=C2C(=O)NOC(=O)*",2.94,4.84,0.96,3.59,1.94,-6.36,NA,1.49,7.02,2.9,-0.14,NA,NA,434,NA,24.86,NA,NA,NA,NA,NA,NA
3230,"*C(F)(F)C(S1)=CC=C1C(F)(F)C(S2)=CC=C2*",3.28,3.82,0.8,3.61,1.84,-5.84,NA,1.49,6.65,2.84,1.2,NA,NA,365,NA,17.37,NA,NA,NA,NA,NA,NA
3231,"*C(F)(F)C(S1)=CC=C1C(F)(F)C(=S)*",2.12,4.13,0.65,3.25,1.88,-5.64,NA,1.64,6.96,4.07,1.35,NA,NA,362,NA,17.25,NA,NA,NA,NA,NA,NA
3232,"*C(F)(F)C(S1)=CC=C1C(F)(F)O*",4.32,3.7,0.84,3.08,1.76,-5.69,NA,1.52,7.45,2.34,NA,NA,NA,309,NA,16.92,NA,NA,NA,NA,NA,NA
3233,"*C(F)(F)C(C=C1)=CC=C1C(F)(F)C(S2)=CC=C2*",3.76,3.73,0.7,3.3,1.81,-5.98,NA,1.35,6.63,2.57,1.06,NA,NA,382,NA,17.78,NA,NA,NA,NA,NA,NA
3234,"*C(F)(F)C(C=C1)=CC=C1C(F)(F)C(C=C2)=CC=C2*",3.95,3.64,0.45,3.37,1.79,-6.08,NA,1.26,6.66,2.26,0.98,NA,NA,382,NA,19.8,NA,NA,NA,NA,NA,NA
3235,"*C(F)(F)C(C=C1)=CC=C1C(F)(F)C(=S)*",2.86,3.95,0.46,3.24,1.84,-5.85,NA,1.45,6.86,3.79,1.16,NA,NA,348,NA,17.46,NA,NA,NA,NA,NA,NA
3236,"*C(F)(F)C(C=C1)=CC=C1C(F)(F)O*",4.56,3.67,0.7,2.98,1.74,-5.91,NA,1.38,7.66,2.1,1.17,NA,NA,326,NA,17.45,NA,NA,NA,NA,NA,NA
3237,"*C(F)(F)C(F)(F)C(S1)=CC=C1C(S2)=CC=C2*",2.76,4.71,0.45,3.91,1.96,-5.85,NA,1.59,5.82,2.68,1.2,NA,NA,375,NA,17.79,NA,NA,NA,NA,NA,NA
3238,"*C(F)(F)C(F)(F)C(S1)=CC=C1C(=S)*",2,4.52,0.5,3.94,1.95,-5.66,NA,1.75,6.71,4.31,1.34,NA,NA,379,NA,17.43,NA,NA,NA,NA,NA,NA
3239,"*C(F)(F)C(F)(F)C(S1)=CC=C1O*",4.07,3.57,0.69,3.21,1.75,-5.66,NA,1.68,6.85,1.97,1.37,NA,NA,320,NA,17.26,NA,NA,NA,NA,NA,NA
3240,"*C(F)(F)C(F)(F)C(C=C1)=CC=C1C(S2)=CC=C2*",3.17,4.21,0.39,3.17,1.89,-5.98,NA,1.45,6.09,2.44,1.1,NA,NA,385,NA,18.38,NA,NA,NA,NA,NA,NA
3241,"*C(F)(F)C(F)(F)C(C=C1)=CC=C1C(C=C2)=CC=C2*",3.54,3.83,0.35,3.62,1.85,-6.09,NA,1.35,6.2,2.17,0.99,NA,NA,412,NA,18.89,NA,NA,NA,NA,NA,NA
3242,"*C(F)(F)C(F)(F)C(C=C1)=CC=C1C(=S)*",2.46,4.2,0.46,3.87,1.91,-5.85,NA,1.57,6.66,3.95,1.15,NA,NA,349,NA,17.93,NA,NA,NA,NA,NA,NA
3243,"*C(F)(F)C(F)(F)C(C=C1)=CC=C1O*",4.77,3.59,0.59,3.04,1.75,-5.9,NA,1.52,6.99,1.78,1.17,NA,NA,358,NA,17.85,NA,NA,NA,NA,NA,NA
3244,"*C(F)(F)C(F)(F)CC(S1)=CC=C1*",4.17,3.39,0.47,3.13,1.74,-5.59,NA,1.62,6.88,2.04,1.15,NA,NA,321,NA,16.52,NA,NA,NA,NA,NA,NA
3245,"*C(F)(F)C(F)(F)CC(C=C1)=CC=C1*",4.55,3.42,0.4,2.98,1.73,-5.79,NA,1.46,7.01,1.89,1.01,NA,NA,353,NA,17.03,NA,NA,NA,NA,NA,NA
3246,"*C(F)(F)C(F)(F)CC(=O)*",4.99,3.47,0.8,2.57,1.63,-5.49,NA,1.79,8.09,2.64,1.29,NA,NA,319,NA,17.07,NA,NA,NA,NA,NA,NA
3247,"*C(F)(F)C(F)(F)CC(=S)*",2.89,3.55,0.69,3.12,1.77,-5.21,NA,1.83,6.56,3.57,1.31,NA,NA,329,NA,15.99,NA,NA,NA,NA,NA,NA
3248,"*C(F)(F)C(F)(F)CN*",7.21,3.55,1.78,2.54,1.61,-5.23,NA,1.7,8.25,0.97,1.18,NA,NA,253,NA,13.88,NA,NA,NA,NA,NA,NA
3249,"*C(F)(F)C(F)(F)CO*",8.52,3.35,1.06,2.44,1.6,-5.23,NA,1.8,9.56,0.71,1.34,NA,NA,248,NA,13.69,NA,NA,NA,NA,NA,NA
3250,"*C(F)(F)C(F)(F)C(=O)C(S1)=CC=C1*",2.89,4.2,0.57,3.35,1.82,-5.86,NA,1.69,7.42,3.84,1.34,NA,NA,345,NA,19.18,NA,NA,NA,NA,NA,NA
3251,"*C(F)(F)C(F)(F)C(=O)C(C=C1)=CC=C1*",3.56,3.92,0.54,3.3,1.79,-6.03,NA,1.53,7.58,3.44,1.15,NA,NA,363,NA,19.75,NA,NA,NA,NA,NA,NA
3252,"*C(F)(F)C(F)(F)C(=O)C(=S)*",1.24,4.41,0.81,3.93,1.86,-5.51,NA,1.84,7.07,5.09,1.61,NA,NA,347,NA,18.12,NA,NA,NA,NA,NA,NA
