"PGID_","SMILES","Bandgap","Dielectric.Constant","Ionic.Dielectric.Constant","Electronic.Dielectric.Constant","Refractive.Index","Atomization.Energy","Breakdown.Field","Density","Ionization.Energy","Electron.Affinity","Cohesive.Energy","Dielectric.Loss","Melting.Temperature","Glass.Transition.Temperature","Onset.of.Degradation.Temperature","Hildebrand.Solubility.Parameter","Energy.Density","State","Molecular.Weight","Entanglement.Molecular.Weight","Molar.Heat.Capacity","Molar.Volume"
10162,"C([*])C([*])(C1=CC(C)=CC=C1)",4.82,3.19,NA,NA,1.75,-5.74,NA,1,5.36,1.23,0.42,NA,NA,381,NA,18.33,NA,NA,108.1,NA,NA,115
10163,"C([*])C([*])(C1=CC=C(C)C=C1)",4.82,3.19,NA,NA,1.75,-5.74,NA,1,5.36,1.23,0.42,NA,NA,381,NA,18.33,NA,NA,108.1,25000,150,115.1
10165,"C([*])C([*])(C(C=C1)=CC=C1C(C)(C)C)",4.86,2.96,NA,NA,1.7,-5.62,NA,0.96,5.95,1.04,0.48,NA,NA,401,NA,17.62,NA,NA,144.13,22000,NA,168.7
10167,"C([*])C([*])(C#N)(C)",6.52,2.87,NA,NA,1.63,-5.35,NA,1.18,6.15,0.33,0.33,NA,523,399,NA,22.83,NA,NA,62.05,NA,NA,60.2
10170,"C([*])C(C=C1)=C([Cl])C=C1C([*])",3.22,3.45,NA,NA,1.8,-5.8,NA,1.18,5.62,1.96,NA,NA,NA,355,NA,19.39,NA,NA,131.54,NA,NA,NA
10171,"O([*])C(C(C)=C1)=C(C)C=C1([*])",4.88,3.03,NA,NA,1.78,-5.8,NA,1.11,5.83,0.53,0.39,NA,580,460,NA,18.74,NA,NA,112.08,3550,149,112.8
10172,"O([*])C(C(C2=CC=CC=C2)=C1)=C(C3=CC=CC=C3)C=C1([*])",3.12,4.16,NA,NA,1.98,-6.35,NA,1.16,5.44,1.74,NA,NA,750,483,NA,21.5,NA,NA,232.19,NA,273,214.3
10174,"S([*])C(C=C1)=CC=C1([*])",2.96,4.01,NA,NA,1.92,-5.79,NA,1.25,6.32,2.15,NA,NA,630,370,NA,20.2,NA,NA,104.13,NA,110,80.1
10175,"S([*])CC([*])",3.91,3.32,NA,NA,1.84,-4.9,NA,1.25,5.3,1.11,0.17,NA,NA,225,NA,18.87,NA,NA,56.09,NA,NA,46.4
10176,"S([*])CC([*])(C)",4.73,3.1,NA,NA,1.78,-4.99,NA,1.13,5.51,1.05,0.23,NA,319.5,229,NA,19.1,NA,NA,68.1,NA,NA,68.2
10177,"O([*])CCOCCOC(=O)NCCCCCCNC([*])(=O)",6.55,3.38,NA,NA,1.66,-5.47,NA,1.18,6.8,0.37,NA,NA,NA,285,NA,21.2,NA,NA,252.14,NA,543,218
10178,"O([*])CCOCCOCCOCCOC(=O)NCCCCCCNC([*])(=O)",6.47,3.35,NA,NA,1.66,-5.41,NA,1.16,6.66,0.37,NA,NA,NA,265,NA,21.34,NA,NA,332.18,NA,NA,298
10179,"O([*])CCCCOC(=O)NC(C=C1)=CC=C1CC(C=C2)=CC=C2NC([*])(=O)",4.27,3.81,NA,NA,1.8,-5.96,NA,1.27,5.61,1.16,NA,NA,NA,375,NA,21.17,NA,NA,320.21,NA,NA,NA
10180,"O([*])CCOC(=O)NC(C=C1)=CC=C1CC(C=C2)=CC=C2NC([*])(=O)",4.08,3.97,NA,NA,1.82,-6.08,NA,1.32,5.62,1.3,1.11,NA,NA,406,NA,21.38,NA,NA,296.19,NA,NA,NA
10181,"C([*])(O)C([*])",7.72,3.19,NA,NA,1.66,-5.24,NA,1.14,7.13,0.83,0.34,NA,521,344,NA,22.02,NA,NA,40.02,NA,62,34.4
10182,"C([*])C([*])(C1=CC=C(O)C=C1)",4.52,3.47,NA,NA,1.78,-5.89,NA,1.13,5.85,1.52,0.59,NA,NA,415,NA,22.49,NA,NA,112.08,NA,NA,103.6
10183,"C1([*])CC(OC(CCC)O1)C([*])",7.36,3.04,NA,NA,1.62,-5.4,NA,1.03,7.45,0.39,NA,NA,NA,344,NA,18.86,NA,NA,128.08,NA,NA,NA
10184,"C([*])C([*])(OC(=O)C)",6.76,3.16,NA,NA,1.68,-5.61,NA,1.22,7.73,0.86,0.29,NA,NA,306,NA,19.39,NA,NA,80.04,9700,NA,72.3
10185,"C([*])C([*])(OC(=O)C1=CC=CC=C1)",4.43,3.81,NA,NA,1.81,-6.05,NA,1.22,6.52,2.17,NA,NA,NA,348,NA,20.95,NA,NA,140.09,NA,164.2,124
10186,"C([*])C([*])(OC(=O)CCC)",6.39,3.09,NA,NA,1.67,-5.47,NA,1.11,7.67,0.76,0.37,NA,NA,266,NA,18.72,NA,NA,104.06,NA,NA,104.5
10187,"C([*])C([*])(OC(=O)CCCCC)",6.27,3.03,NA,NA,1.66,-5.39,NA,1.06,7.66,0.67,NA,NA,NA,244,NA,18.27,NA,NA,128.08,NA,NA,133
10188,"C([*])C([*])(OC=O)",6.22,3.66,NA,NA,1.72,-5.7,NA,1.32,7.81,1.34,NA,NA,NA,307,NA,23.28,NA,NA,68.03,NA,NA,NA
10189,"C([*])C([*])(OC(=O)CC)",6.46,3.13,NA,NA,1.67,-5.53,NA,1.16,7.78,0.85,0.32,NA,NA,288,NA,19.04,NA,NA,92.05,NA,NA,89.6
10190,"C([*])C([*])(OC(=O)CCCC)",6.33,3.06,NA,NA,1.66,-5.42,NA,1.08,7.67,0.71,NA,NA,NA,254,NA,18.47,NA,NA,116.07,NA,NA,118.5
10191,"C([*])C([*])(OCCCC)",6.85,2.98,NA,NA,1.65,-5.2,NA,0.96,7.21,0.36,0.37,NA,337,217,NA,17.79,NA,NA,88.06,NA,NA,109
10192,"C([*])C([*])(OCC)",6.78,3.02,NA,NA,1.65,-5.22,NA,1,6.97,0.36,0.25,NA,359,233,NA,18.22,NA,NA,64.04,NA,NA,74.1
10193,"C([*])C([*])(OCC(C)C)",6.96,2.94,NA,NA,1.65,-5.18,NA,0.96,6.92,0.37,0.36,NA,443,245,NA,17.71,NA,NA,88.06,NA,NA,109.4
10194,"C([*])C([*])(OC(C)C)",6.93,2.91,NA,NA,1.65,-5.22,NA,0.97,7.08,0.45,0.31,NA,464,266,NA,17.84,NA,NA,76.05,NA,NA,93.2
10195,"C([*])C([*])(OC)",6.67,3.11,NA,NA,1.66,-5.23,NA,1.03,6.76,0.53,0.19,NA,420,232,NA,18.67,NA,NA,52.03,6450,113,55.5
10196,"C([*])C([*])(OCCCCCCCC)",6.77,2.94,NA,NA,1.65,-5.19,NA,0.93,7.34,0.38,NA,NA,NA,202,NA,17.45,NA,NA,136.11,NA,NA,171
10197,"C([*])C([*])(OCCC)",6.83,2.99,NA,NA,1.65,-5.21,NA,0.97,7.13,0.36,0.3,NA,349,223,NA,17.96,NA,NA,76.05,NA,NA,87.8
10198,"C([*])(C(=O)CC)C([*])",4.9,3.15,NA,NA,1.68,-5.44,NA,1.08,6.9,1.28,0.35,NA,NA,291,NA,19.91,NA,NA,76.05,NA,NA,81.8
10199,"C([*])(C(=O)C)C([*])",4.67,3.18,NA,NA,1.69,-5.49,NA,1.13,6.48,1.41,0.28,NA,443,294,NA,20.71,NA,NA,64.04,NA,NA,62.6
10200,"C([*])(C(=O)(C))(C)C([*])",4.59,3.04,NA,NA,1.68,-5.44,NA,1.08,6.73,1.24,NA,NA,493,350,NA,19.18,NA,NA,76.05,NA,NA,74.1
10201,"C([*])(C(=O)C1=CC=CC=C1)C([*])",3.89,3.84,NA,NA,1.82,-6.02,NA,1.16,5.75,2.31,NA,NA,NA,335,NA,21.5,NA,NA,124.1,NA,NA,111
10202,"C([*])C([*])(SCCCC)",5.45,2.98,NA,NA,1.72,-5.08,NA,1.01,6.68,0.94,NA,NA,NA,250,NA,18.83,NA,NA,104.13,NA,NA,118.6
10203,"C([*])C([*])(SCC)",4.87,3.07,NA,NA,1.78,-5.03,NA,1.09,6.4,1.22,0.42,NA,NA,262,NA,19.36,NA,NA,80.11,NA,NA,NA
10204,"C([*])C([*])(SC)",4.28,3.17,NA,NA,1.83,-4.98,NA,1.17,6.09,1.5,0.25,NA,NA,273,NA,19.5,NA,NA,68.1,NA,NA,66.8
10205,"C([*])C([*])(SC1=CC=CC=C1)",3.79,3.89,NA,NA,1.89,-5.7,NA,1.15,4.97,1.99,0.46,NA,NA,376,NA,19.86,NA,NA,128.15,NA,NA,118.2
10206,"C([*])C([*])(SCCC)",5.2,3.01,NA,NA,1.74,-5.06,NA,1.04,6.52,1.05,NA,NA,NA,259,NA,19.08,NA,NA,92.12,NA,NA,99.9
10208,"C([*])=CC(C)C([*])",5.73,2.94,NA,NA,1.65,-5.44,NA,0.92,5.52,0.99,NA,NA,578,293,NA,16.62,NA,NA,60.05,NA,NA,NA
10209,"C([*])=CCCC([*])",5.86,2.97,NA,NA,1.65,-5.46,NA,0.92,5.97,0.93,NA,NA,403.2,209,NA,17.28,NA,NA,60.05,NA,NA,NA
10210,"C([*])=CCC(C)C([*])",6,2.9,NA,NA,1.65,-5.39,NA,0.91,5.86,0.82,NA,NA,523.2,281,NA,16.64,NA,NA,72.06,NA,NA,NA
10211,"C([*])=CCCCC([*])",5.99,2.95,NA,NA,1.65,-5.4,NA,0.91,6.2,0.85,NA,NA,321,219,NA,17.19,NA,NA,72.06,NA,NA,NA
10212,"C([*])=CCCC(C)C([*])",6.09,2.9,NA,NA,1.65,-5.36,NA,0.91,6.09,0.77,NA,NA,393,276,NA,16.65,NA,NA,84.07,NA,NA,NA
10213,"C([*])=CCCCCCCCCCCCCCCCC([*])",6.68,2.9,NA,NA,1.64,-5.23,NA,0.89,6.98,0.57,NA,NA,347,284,NA,16.93,NA,NA,216.19,NA,NA,NA
10214,"C([*])C([*])(C1=CC=C(OC)C=C1)",4.38,3.35,NA,NA,1.76,-5.79,NA,1.08,5.66,1.22,NA,NA,511,372,NA,19.95,NA,NA,124.1,NA,NA,NA
10215,"C([*])C([*])(C1=CC=C(C2=CC=CC=C2)C=C1)",3.82,3.73,NA,NA,1.86,-6.08,NA,1.06,4.9,1.66,NA,NA,NA,442,NA,20.38,NA,NA,168.15,NA,NA,NA
10216,"C([*])=CC([*])(C1=CC=CC=C1)",4.83,3.42,NA,NA,1.76,-6.1,NA,1.06,5.07,1.23,NA,NA,508,341,NA,19.24,NA,NA,108.1,NA,NA,NA
10217,"C([*])C([*])(C1CCCC1)",7.73,2.97,NA,NA,1.62,-5.29,NA,0.91,6.94,0.32,NA,NA,565,358,NA,17.35,NA,NA,84.07,NA,NA,NA
10218,"C([*])(C=C1)=CC(C(C)=C2)=C1C=C2([*])",1.96,4.86,NA,NA,2.25,-6.26,NA,1.17,5.39,2.5,NA,NA,633,427,NA,20.3,NA,NA,132.12,NA,NA,NA
10219,"C([*])C([*])(OCCCCCC)",6.83,2.96,NA,NA,1.65,-5.19,NA,0.94,7.3,0.37,NA,NA,NA,208,NA,17.58,NA,NA,112.08,NA,NA,NA
10220,"C([*])C([*])(OC(=O)C[Cl])",5.26,3.42,NA,NA,1.69,-5.45,NA,1.43,5.8,1.59,NA,NA,NA,314,NA,19.66,NA,NA,115.5,NA,NA,NA
10221,"C([*])C([*])(OC(=O)C(F)(F)(F))",6.31,3.45,NA,NA,1.64,-5.57,NA,1.47,9.03,2.02,NA,NA,448,316,NA,16.52,NA,NA,137.04,NA,NA,NA
10223,"C([*])C([*])(N1CCCC1(=O))",5.96,3.2,NA,NA,1.64,-5.67,NA,1.12,6.95,0.83,NA,NA,NA,421,NA,25.87,NA,NA,102.07,NA,NA,NA
10224,"C([*])C([*])(N3C1=CC=CC=C1C2=CC=CC=C23)",3.04,4.96,NA,NA,2.15,-6.25,NA,1.23,5.27,2.44,NA,NA,NA,466,NA,20.45,NA,NA,182.16,NA,NA,NA
10225,"C([*])C([*])(C)(C(=O)OCC(CC)CC)",5.77,2.98,NA,NA,1.66,-5.33,NA,1.02,7.06,0.64,NA,NA,NA,301,NA,17.44,NA,NA,152.11,NA,NA,NA
10226,"C([*])C([*])([Cl])(OC(=O)C)",4.97,3.42,NA,NA,1.71,-5.45,NA,1.43,6.19,1.97,NA,NA,NA,406,NA,20.44,NA,NA,115.5,NA,NA,NA
10227,"C([*])C=C(C(C)(C)(C))C([*])",5.65,2.63,NA,NA,1.62,-5.39,NA,0.9,6.31,0.63,NA,NA,379,317,NA,16.07,NA,NA,96.09,NA,NA,NA
10228,"C([*])(C)O([*])",7.94,3.1,NA,NA,1.66,-5.28,NA,1.1,7.55,0.56,NA,NA,438,250,NA,19,NA,NA,40.02,NA,NA,NA
10229,"C([*])CCCCCCCO([*])",7.55,3.01,NA,NA,1.65,-5.18,NA,0.94,7.28,0.35,NA,NA,347,215,NA,17.66,NA,NA,112.08,NA,NA,NA
10230,"C([*])(C)C(C)O([*])",7.1,2.92,NA,NA,1.65,-5.23,NA,1,7.03,0.49,NA,NA,387,270,NA,17.32,NA,NA,64.04,NA,NA,NA
10231,"C([*])C(C1=CC=CC=C1)O([*])",4.53,3.56,NA,NA,1.77,-5.89,NA,1.11,5.59,1.49,NA,NA,432.5,325,NA,20.42,NA,NA,112.08,NA,NA,NA
10232,"C([*])C(C)OCO([*])",7.15,3.25,NA,NA,1.66,-5.24,NA,1.1,7,0.53,NA,NA,330,204,NA,18.96,NA,NA,80.04,NA,NA,NA
10233,"C([*])C(C)OC(C=C1)=CC=C1O([*])",4.77,3.37,NA,NA,1.76,-5.79,NA,1.14,5.77,0.82,NA,NA,485,337,NA,21.35,NA,NA,140.09,NA,NA,NA
10234,"C([*])CCCC(=O)OCCCCOC([*])(=O)",6.59,3.22,NA,NA,1.67,-5.5,NA,1.16,7.45,0.75,NA,NA,328.8,210,NA,19.25,NA,NA,184.1,NA,NA,NA
10235,"C([*])CCCCCCC(=O)OCCOC([*])(=O)",6.75,3.19,NA,NA,1.67,-5.47,NA,1.13,7.65,0.71,NA,NA,319,229,NA,19.05,NA,NA,196.12,NA,NA,NA
10236,"C([*])CCCCCCCC(=O)OCCCCCCCCCCOC([*])(=O)",6.84,3.03,NA,NA,1.65,-5.33,NA,1.02,7.46,0.53,NA,NA,351,242,NA,18.03,NA,NA,304.21,NA,NA,NA
10237,"C([*])C(C)(C)C(=O)O([*])",6.29,3.13,NA,NA,1.68,-5.51,NA,1.16,7.06,0.91,NA,NA,513,304,NA,18.82,NA,NA,92.05,NA,NA,NA
10238,"C([*])(C=C1)=CC=C1C(=O)O([*])",3.54,4.15,NA,NA,1.87,-6.47,NA,1.35,6.9,2.5,NA,NA,680,414,NA,22.43,NA,NA,116.07,NA,NA,NA
10239,"C([*])COC(C=C1)=CC=C1C(=O)O([*])",4.26,3.8,NA,NA,1.81,-6.04,NA,1.27,6.49,1.9,NA,NA,487.5,334,NA,22.1,NA,NA,156.09,NA,NA,NA
10240,"C([*])(C=C1)=CC=C1C(=O)OCCCCCCOC([*])(=O)",4.82,3.62,NA,NA,1.77,-5.81,NA,1.19,7.16,1.82,NA,NA,430.5,301,NA,20.64,NA,NA,232.15,NA,NA,NA
10241,"C([*])(C=C1)=CC=C1C(=O)OCCCCCCCCCCOC([*])(=O)",5.37,3.42,NA,NA,1.74,-5.65,NA,1.11,7.06,1.45,NA,NA,403.5,294,NA,19.69,NA,NA,280.19,NA,NA,NA
10242,"C([*])(C=C1)=CC=C1C(=O)OCC(CC1)CCC1COC([*])(=O)",5.06,3.58,NA,NA,1.74,-5.82,NA,1.17,6.77,1.6,NA,NA,590,359,NA,20.56,NA,NA,256.17,NA,NA,229.5
10243,"N([*])C(C)CC([*])(=O)",6.01,3.42,NA,NA,1.68,-5.58,NA,1.15,6.6,0.96,NA,NA,530.5,404,NA,26.72,NA,NA,78.05,NA,NA,NA
10245,"N([*])CCCCCCCCC([*])(=O)",6.55,3.13,NA,NA,1.66,-5.35,NA,1.01,7.02,0.54,NA,NA,474.5,319,NA,23.39,NA,NA,138.1,NA,NA,NA
10246,"N([*])CCCCCCCCCC([*])(=O)",6.59,3.1,NA,NA,1.66,-5.33,NA,0.99,7.07,0.53,NA,NA,457.5,317,NA,23.03,NA,NA,150.11,NA,NA,NA
10247,"N([*])CCCCCCCNC(=O)CCCCCC([*])(=O)",6.43,3.2,NA,NA,1.66,-5.4,NA,1.04,6.87,0.58,NA,NA,478,327,NA,24.36,NA,NA,228.16,NA,NA,NA
10248,"N([*])CCCCCCCCNC(=O)CCCCCCC([*])(=O)",6.49,3.16,NA,NA,1.66,-5.37,NA,1.02,6.96,0.56,NA,NA,488,323,NA,23.81,NA,NA,252.18,NA,NA,NA
10249,"N([*])CCCCCCCCCNC(=O)CCCCCCCC([*])(=O)",6.54,3.13,NA,NA,1.66,-5.35,NA,1.01,7.02,0.54,NA,NA,450,320,NA,23.36,NA,NA,276.2,NA,NA,NA
10250,"N([*])CCCCCCCCCCNC(=O)CCCCCCCC([*])(=O)",6.58,3.11,NA,NA,1.66,-5.34,NA,1,7.03,0.52,NA,NA,487,320,NA,23.14,NA,NA,288.22,NA,NA,NA
10251,"N([*])CCCCCCCCCNC(=O)CCCCCCCCC([*])(=O)",6.58,3.11,NA,NA,1.66,-5.34,NA,1,7.03,0.52,NA,NA,479,320,NA,23.14,NA,NA,288.22,NA,NA,NA
10252,"N([*])C(CC1)CCC1CC(CC2)CCC2NC(=O)CCCCCCCCCCC([*])(=O)",6.57,3.11,NA,NA,1.63,-5.37,NA,0.99,6.62,0.47,NA,NA,564.5,413,NA,21.34,NA,NA,360.28,NA,NA,NA
10253,"N([*])CC(C=C1)=CC=C1CNC(=O)CCCCCCCCC([*])(=O)",5.51,3.3,NA,NA,1.7,-5.63,NA,1.08,6.54,1.01,NA,NA,557,370,NA,23.94,NA,NA,276.2,NA,NA,NA
10254,"N([*])CC(C)(C)CC(C)CCNC(=O)C(C=C1)=CC=C1C([*])(=O)",5.18,3.48,NA,NA,1.74,-5.65,NA,1.09,6.34,1.38,NA,NA,NA,422,NA,23.91,NA,NA,264.19,NA,NA,NA
10255,"N([*])C(CN1)NCC1NC(=O)CCCCCCCCC([*])(=O)",6.05,3.32,NA,NA,1.65,-5.49,NA,1.09,6.36,0.55,NA,NA,455,365,NA,25.38,NA,NA,256.18,NA,NA,NA
10256,"O([*])C(=O)OC(C=C1)=CC=C1C(C)C(C=C2)=CC=C2([*])",4.32,3.53,NA,NA,1.78,-6.16,NA,1.23,5.89,1.46,NA,NA,468,416,NA,20.46,NA,NA,228.16,NA,NA,NA
10257,"O([*])C(=O)OC(C=C1)=CC=C1C(C)(C)C(C=C2)=CC=C2([*])",4.33,3.46,NA,NA,1.77,-6.07,NA,1.2,5.84,1.4,NA,NA,608.2,421,NA,20.08,NA,NA,240.17,NA,NA,NA
10258,"O([*])C(=O)OC(C=C1)=CC=C1C(CCC)C(C=C2)=CC=C2([*])",4.35,3.42,NA,NA,1.76,-6,NA,1.18,5.8,1.32,NA,NA,443,405,NA,19.95,NA,NA,252.18,NA,NA,NA
10259,"O([*])C(=O)OC(C=C1)=CC=C1CC(C)(C)C(C=C2)=CC=C2([*])",4.41,3.39,NA,NA,1.76,-5.99,NA,1.18,5.85,1.26,NA,NA,453,398,NA,19.8,NA,NA,252.18,NA,NA,NA
10260,"O([*])C(=O)OC(C=C1)=CC=C1C(CCC)(C)C(C=C2)=CC=C2([*])",4.35,3.37,NA,NA,1.75,-5.94,NA,1.16,5.81,1.28,NA,NA,493,407,NA,19.66,NA,NA,264.19,NA,NA,NA
10261,"O([*])C(=O)OC(C=C1)=CC=C1C(CCCC)(C)C(C=C2)=CC=C2([*])",4.4,3.33,NA,NA,1.75,-5.88,NA,1.14,5.82,1.22,NA,NA,473,401,NA,19.49,NA,NA,276.2,NA,NA,NA
10262,"O([*])C(=O)OC(C=C1)=CC=C1C(C2=CC=CC=C2)(C)C(C=C3)=CC=C3([*])",4.17,3.6,NA,NA,1.8,-6.21,NA,1.21,5.73,1.49,NA,NA,503,436,NA,20.46,NA,NA,300.22,NA,NA,NA
10263,"O([*])C(=O)OC(C=C1)=CC=C1C(C=C2)=CC=C2CC(C=C3)=CC=C3C(C=C4)=CC=C4([*])",3.49,3.89,NA,NA,1.88,-6.31,NA,1.21,5.72,1.69,NA,NA,503,413,NA,21.46,NA,NA,360.28,NA,NA,NA
10264,"O([*])C(=O)OC(C=C1)=CC=C1C2(CCCC2)C(C=C3)=CC=C3([*])",4.58,3.49,NA,NA,1.74,-6.05,NA,1.19,5.8,1.24,NA,NA,523,434,NA,20.09,NA,NA,264.19,NA,NA,NA
10265,"O([*])C(=O)OC(C=C1)=CC=C1C2(CCCCC2)C(C=C3)=CC=C3([*])",4.72,3.44,NA,NA,1.73,-6,NA,1.16,5.8,1.16,NA,NA,533,433,NA,19.89,NA,NA,276.2,NA,NA,NA
10266,"O([*])C(=O)OC(C=C1)=C(C)C=C1C(C)(C)C(C=C2)=CC(C)=C2([*])",4.69,3.19,NA,NA,1.75,-5.89,NA,1.16,6.02,1.15,NA,NA,443,432,NA,19.16,NA,NA,264.19,NA,NA,NA
10267,"O([*])C(=O)OC(C=C1)=C([Cl])C=C1C(C)(C)C(C=C2)=CC([Cl])=C2([*])",4.01,4,NA,NA,1.78,-5.96,NA,1.34,6.15,1.9,NA,NA,483,431,NA,20.06,NA,NA,311.07,NA,NA,NA
10269,"O([*])C(=O)OC(C([Cl])=C1)=C([Cl])C=C1C2(CCCCC2)C(C=C3([Cl]))=CC([Cl])=C3([*])",3.86,4.47,NA,NA,1.75,-5.92,NA,1.41,6.15,2.03,NA,NA,543,458,NA,19.68,NA,NA,418.01,NA,NA,NA
10271,"C([*])(C=C1)=CC=C1C(F)(F)C([*])(F)(F)",4.26,3.59,NA,NA,1.75,-5.9,NA,1.48,7.18,2.25,NA,NA,773,360,NA,16.72,NA,NA,172.08,NA,NA,NA
10272,"C([*])(=O)CCCCOC(C=C1)=CC=C1OC(C=C2)=CC=C2C(=O)O([*])",4.49,3.65,NA,NA,1.78,-6.04,NA,1.24,6.49,1.63,NA,NA,477,341,NA,21.46,NA,NA,296.19,NA,NA,NA
10273,"C([*])C([*])(COOc1ccccc1Cl)",4.16,3.21,NA,NA,1.76,-5.68,NA,1.23,5.71,1.7,NA,NA,NA,329,NA,20.97,NA,NA,NA,NA,NA,NA
10274,"C([*])C([*])(COOc1cc(Cl)ccc1)",4.25,3.21,NA,NA,1.74,-5.68,NA,1.23,5.71,1.56,NA,NA,NA,336,NA,20.97,NA,NA,NA,NA,NA,NA
10275,"C([*])C([*])(Cl)(CC(=O)OCCC)",5.25,3.1,NA,NA,1.67,-5.34,NA,1.21,6.04,1.07,NA,NA,NA,336,NA,19.39,NA,NA,NA,NA,NA,NA
10276,"C([*])C([*])(c1ccc(I)cc1)",2.72,3.51,NA,NA,1.94,-5.72,NA,1.33,5.2,3.1,NA,NA,NA,416,NA,18.71,NA,NA,NA,NA,NA,NA
10278,"C([*])CC(C)CCC([*])",7.7,2.85,NA,NA,1.65,-5.15,NA,0.87,7.21,0.43,NA,NA,NA,243,NA,16.52,NA,NA,NA,NA,NA,NA
10279,"C([*])C([*])(C(=O)OCc1ccco1)",5.57,3.32,NA,NA,1.68,-5.91,NA,1.26,6.49,1.31,NA,NA,NA,307,NA,20.45,NA,NA,NA,NA,NA,NA
10280,"C([*])C([*])(C(=O)OCC(F)(F)C(F)(F)C(F)(F)F)",6.43,3.29,NA,NA,1.61,-5.38,NA,1.74,8.41,1.21,NA,NA,NA,241,NA,14.84,NA,NA,NA,NA,NA,NA
10282,"C([*])C([*])(C(=O)OCCOC)",5.62,3.32,NA,NA,1.67,-5.44,NA,1.17,6.83,0.8,NA,NA,NA,234,NA,19.61,NA,NA,NA,NA,NA,NA
10283,"C([*])C([*])(C(=O)Oc2ccc1ccccc1c2)",3.6,4.27,NA,NA,1.92,-6.2,NA,1.26,5.56,2.28,NA,NA,NA,375,NA,20.5,NA,NA,NA,NA,NA,NA
10284,"C([*])C([*])(C(=O)OCc1c(Br)c(Br)c(Br)c(Br)c1Br)",2.44,4.52,NA,NA,2,-5.51,NA,1.72,5.66,3.31,NA,NA,NA,447,NA,19.37,NA,NA,NA,NA,NA,NA
10285,"C([*])C([*])C(=O)(OCc1c(F)c(F)c(F)c(F)c1F)",6.56,3.52,NA,NA,1.72,-5.74,NA,1.19,6.77,1.83,NA,NA,NA,413,NA,19.98,NA,NA,NA,NA,NA,NA
10286,"C([*])C([*])(C(=O)OCCc1ccccc1)",4.49,3.44,NA,NA,1.74,-5.81,NA,1.14,5.98,1.51,NA,NA,NA,280,NA,19.72,NA,NA,NA,NA,NA,NA
10287,"C([*])C([*])(C(=O)OCC(F)(F)F)",6.46,3.34,NA,NA,1.64,-5.49,NA,1.49,7.88,1.05,NA,NA,NA,261,NA,16.82,NA,NA,NA,NA,NA,NA
10288,"C([*])C([*])(C(=O)OC1CC(C)CC(C)(C)C1)",6.52,2.97,NA,NA,1.64,-5.41,NA,1.02,7.01,0.55,NA,NA,NA,338,NA,17.84,NA,NA,NA,NA,NA,NA
10289,"C([*])C([*])C(=O)(N(CCCC)CCCC)",5.49,3.01,NA,NA,1.66,-5.34,NA,0.98,7.03,0.67,NA,NA,NA,322,NA,22.6,NA,NA,NA,NA,NA,NA
10290,"C([*])C([*])(C(=O)N(C)C)",5.33,3.15,NA,NA,1.67,-5.51,NA,1.1,6.7,1.1,NA,NA,NA,368,NA,24.66,NA,NA,NA,NA,NA,NA
10291,"C([*])C([*])(C(=O)N(C(C)C)C(C)C)",5.62,3.01,NA,NA,1.66,-5.39,NA,1.01,6.82,0.94,NA,NA,NA,388,NA,22.87,NA,NA,NA,NA,NA,NA
10292,"C([*])C([*])(C(=O)N(C)c1ccccc1)",4.02,3.75,NA,NA,1.8,-5.9,NA,1.19,5.33,1.48,NA,NA,NA,434,NA,24.02,NA,NA,NA,NA,NA,NA
10293,"C([*])C([*])(C(=O)Oc2ccc(c1ccccc1)cc2)",3.91,3.84,NA,NA,1.84,-6.14,NA,1.18,5.44,1.81,NA,NA,NA,379,NA,21.07,NA,NA,NA,NA,NA,NA
10294,"C([*])C([*])(C(=O)Oc1ccc(C(=O)OCCCC)cc1)",4.57,3.49,NA,NA,1.75,-5.81,NA,1.19,6.7,1.58,NA,NA,NA,297,NA,19.99,NA,NA,NA,NA,NA,NA
10295,"C([*])C([*])(C(=O)Oc1ccccc1C(C)(C)C)",4.97,3.11,NA,NA,1.7,-5.73,NA,1.09,6.22,1.09,NA,NA,NA,352,NA,18.54,NA,NA,NA,NA,NA,NA
10296,"C([*])C([*])(C(=O)Oc1ccc(C(C)(C)C)cc1)",5.05,3.11,NA,NA,1.7,-5.73,NA,1.09,6.17,1.09,NA,NA,NA,336,NA,18.54,NA,NA,NA,NA,NA,NA
10297,"C([*])C([*])(C(=O)OCC(CCl)(CCl)CCl)",4.33,3.28,NA,NA,1.8,-5.18,NA,1.43,4.52,1.54,NA,NA,NA,318,NA,19.14,NA,NA,NA,NA,NA,NA
10298,"C([*])C([*])(C(=O)OCCOCCC#N)",6.42,3.3,NA,NA,1.66,-5.47,NA,1.26,6.54,0.69,NA,NA,NA,257,NA,22.49,NA,NA,NA,NA,NA,NA
10299,"C([*])C([*])(C(=O)Oc1ccc(C#N)cc1)",4.8,3.6,NA,NA,1.75,-6.07,NA,1.35,6.1,1.8,NA,NA,NA,360,NA,23.33,NA,NA,NA,NA,NA,NA
10300,"C([*])C([*])(C(=O)OCc1ccc(C#N)cc1)",4.86,3.5,NA,NA,1.74,-5.95,NA,1.3,6.35,1.73,NA,NA,NA,335,NA,22.39,NA,NA,NA,NA,NA,NA
10301,"C([*])C([*])(C(=O)OCC(C)(C)C#N)",6,3.08,NA,NA,1.66,-5.47,NA,1.22,6.44,0.69,NA,NA,NA,320,NA,21.86,NA,NA,NA,NA,NA,NA
